site_domain,imps,clicks,click_thru_pct,convs_rate,booked_revenue,post_view_convs,post_click_convs,media_cost,profit_ecpm
07-ros-btf-laplacemedia-5.fr,19,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.016011,-0.842684210526315789474000
07-ros-btf-laplacemedia-6.fr,17,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.013197,-0.776294117647058823529000
07-ros-btf-laplacemedia-7.fr,13,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.011732,-0.902461538461538461538000
08-btf-meteofrance.fr,8,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.007080,-0.885000000000000000000000
1.fm,10,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.004250,-0.425000000000000000000000
1000lifehacks.com,11,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.008280,-0.752727272727272727273000
1000notes.com,11,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.020240,-1.840000000000000000000000
1001-sports.fr,1,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.000513,-0.513000000000000000000000
1001actus.com,1,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.000800,-0.800000000000000000000000
1001loveletters.com,1,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.000570,-0.570000000000000000000000
1001tracklists.com,2,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.003010,-1.505000000000000000000000
100bestbuy.com,3,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.001276,-0.425333333333333333333000
100daysofrealfood.com,15,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.024498,-1.633200000000000000000000
100doorswalkthrough.com,1,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.002300,-2.300000000000000000000000
100nests.com,25,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.013869,-0.554760000000000000000000
100swimmingworkouts.com,1,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.002240,-2.240000000000000000000000
1011now.com,1,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.002157,-2.157000000000000000000000
101cookingfortwo.com,14,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.027078,-1.934142857142857142857000
101greatgoals.com,1,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.002340,-2.340000000000000000000000
101photography.info,2,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.001590,-0.795000000000000000000000
101wkqx.com,1,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.000937,-0.937000000000000000000000
101x.com,1,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.002240,-2.240000000000000000000000
1037kissfm.com,2,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.002457,-1.228500000000000000000000
1079ishot.com,2,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.004119,-2.059500000000000000000000
10best.com,2,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.005180,-2.590000000000000000000000
10cmdesaltoalto.com,1,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.001440,-1.440000000000000000000000
10rate.com,1,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.000960,-0.960000000000000000000000
10times.com,1,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.001725,-1.725000000000000000000000
11870.com,1,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.000723,-0.723000000000000000000000
118712.fr,1,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.000498,-0.498000000000000000000000
11plusforparents.co.uk,3,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.000994,-0.331333333333333333333000
123cha.com,3,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.003860,-1.286666666666666666667000
123child.com,1,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.000900,-0.900000000000000000000000
123freebrushes.com,3,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.004050,-1.350000000000000000000000
123freecell.com,3,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.005160,-1.720000000000000000000000
123freevectors.com,10,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.011302,-1.130200000000000000000000
123homeschool4me.com,2,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.001770,-0.885000000000000000000000
123movies.me,2,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.003710,-1.855000000000000000000000
123tagged.com,7,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.009800,-1.400000000000000000000000
123telugu.com,3,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.002540,-0.846666666666666666667000
12minuteathlete.com,5,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.005072,-1.014400000000000000000000
12most.com,1,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.001250,-1.250000000000000000000000
1411.com.do,2,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.000870,-0.435000000000000000000000
143dressup.com,1,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.001770,-1.770000000000000000000000
15minutebeauty.com,4,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.006661,-1.665250000000000000000000
15stepsblog.com,1,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.001250,-1.250000000000000000000000
163.com,11,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.013020,-1.183636363636363636364000
17apart.com,8,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.008075,-1.009375000000000000000000
1800flowers.com,1,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.000759,-0.759000000000000000000000
1800petmeds.com,2,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.002699,-1.349500000000000000000000
18humor.com,7,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.010502,-1.500285714285714285714000
1fichier.com,17,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.010968,-0.645176470588235294118000
1happybirthday.com,7,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.010710,-1.530000000000000000000000
1into1million.com,1,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.002300,-2.300000000000000000000000
1jux.net,11,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.004989,-0.453545454545454545455000
1keydata.com,11,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.013470,-1.224545454545454545455000
1lovepoems.com,4,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.002524,-0.631000000000000000000000
1mpics.com,19,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.034440,-1.812631578947368421053000
1samoana.com,2,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.004470,-2.235000000000000000000000
1stanniversarywishes.com,2,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.000486,-0.243000000000000000000000
1up.com,1,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.002300,-2.300000000000000000000000
20-nothings.com,1,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.000550,-0.550000000000000000000000
2012god.ru,1,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.001740,-1.740000000000000000000000
2014calendarprintable.net,2,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.002301,-1.150500000000000000000000
2014carsnews.com,1,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.002530,-2.530000000000000000000000
2014chevelle.com,1,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.000910,-0.910000000000000000000000
2048game.info,1,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.002860,-2.860000000000000000000000
20min.ch,4,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.007739,-1.934750000000000000000000
20minutos.es,18,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.032512,-1.806222222222222222222000
20minutos.tv,1,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.001569,-1.569000000000000000000000
21stcenturywire.com,7,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.001880,-0.268571428571428571429000
22-nfl.com,1,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.000478,-0.478000000000000000000000
22searchengines.com,3,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.003150,-1.050000000000000000000000
23century.com,1,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.002240,-2.240000000000000000000000
247mahjong.com,24,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.033230,-1.384583333333333333333000
247media.com,266,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.382620,-1.438421052631578947368000
247realmedia.com,2,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.002867,-1.433500000000000000000000
247solitaire.com,5,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.006360,-1.272000000000000000000000
247wallst.com,22,0,0.000000000000000000%,0.045454545454545455,35.000000,1,0,0.064487,1587.977863636363636363636000
24chasa.bg,5,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.008380,-1.676000000000000000000000
24h.com.vn,6,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.005940,-0.990000000000000000000000
24horas.cl,2,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.002444,-1.222000000000000000000000
24kitchen.nl,1,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.001306,-1.306000000000000000000000
24livenewspaper.com,5,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.009362,-1.872400000000000000000000
24radio.gr,2,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.001670,-0.835000000000000000000000
24sata.hr,12,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.017090,-1.424166666666666666667000
24timezones.com,2,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.002900,-1.450000000000000000000000
25stanley.com,4,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.008250,-2.062500000000000000000000
29secrets.com,2,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.002498,-1.249000000000000000000000
2b2.eu,1,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.000900,-0.900000000000000000000000
2buildmusclefast.com,386,1,0.259067357512953368%,0.000000000000000000,0.000000,0,0,0.297684,-0.771202072538860103627000
